page_or_card,claim,evidence_primary,evidence_archaeology,pin_place,lat,lon,suggested_article,mla_primary
Ports & Emporia,Somnath/Prabhas coastal complex tied to pilgrimage and trade.,Temple records; itineraries,Coastal geomorphology,Somnath (Gujarat),20.89,70.4,Routes of Faith and Trade,"Michell, George. The Hindu Temple, 1988."
Ports & Emporia,Khambhat (Cambay) famous for agate/carnelian exports.,Travelers’ accounts,Bead workshops; regional surveys,Khambhat (Gujarat),22.32,72.62,Pepper and Bullion (appendix),"Kenoyer, J. M. Ancient Beadmaking, 1997."
Transoceanic Hubs,Mantai acted as a northern Sri Lankan emporium.,Texts and inscriptions,Mantai excavations,Mantai (Sri Lanka),8.036,79.833,Emporia of the Ocean,"Carswell, John. Mantai: City by the Sea, 2013."
Transoceanic Hubs,Trincomalee’s natural harbor used over long durations.,Travel accounts,Harbor archaeology,Trincomalee (Sri Lanka),8.57,81.23,Routes of Faith and Trade,"McCrindle, J. W. Ancient India as Described by Megasthenes and Arrian, 1877."
Transoceanic Hubs,Jaffna littoral linked to pearl and chank trade.,Tamil sources; travelers,Shell middens; coastal finds,Jaffna/Kankesanthurai (Sri Lanka),9.82,80.04,Emporia of the Ocean,"Ray, Himanshu Prabha. The Archaeology of Seafaring, 2003."
Epigraphy & Guilds,Takuapa inscription records merchant presence.,Sanskrit inscription,Site documentation,Takuapa (Thailand),8.85,98.33,Guilds without Borders,"Hall, Kenneth R. Maritime Trade and State Development, 1985."
Epigraphy & Guilds,Ligor inscription linked with Srivijaya milieu.,Sanskrit inscription,Temple context,Nakhon Si Thammarat (Thailand),8.43,99.96,Indian Ocean Power Networks,"Coedès, George. The Indianized States of Southeast Asia, 1968."
Epigraphy & Guilds,Kutai yūpa pillars signal early Sanskrit in Borneo.,Sanskrit yūpa of Mulavarman,Epigraphic corpus,"Muara Kaman (East Kalimantan, Indonesia)",-0.27,116.61,The Sanskrit Wave,"Salomon, Richard. Indian Epigraphy, 1998."
Transoceanic Hubs,Kedah (Bujang Valley) shows early entrepôt activity.,Inscriptions and finds,Sungai Batu archaeology,Kedah (Malaysia),5.54,100.49,Emporia of the Ocean,"Jacq-Hergoualc'h, Michel. The Malay Peninsula, 1992."
Transoceanic Hubs,Palembang region inscriptions attest Srivijayan polity.,Talang Tuwo inscription,Regional archaeology,Palembang (Indonesia),-2.99,104.76,Indian Ocean Power Networks,"Coedès, George. The Indianized States of Southeast Asia, 1968."
Transoceanic Hubs,Barus on Sumatra famed for camphor trade.,Travelers’ accounts,Archaeological survey,"Barus (Sumatra, Indonesia)",2.01,98.39,Pepper and Bullion (appendix),"Reid, Anthony. Southeast Asia in the Age of Commerce, 1988."
Transoceanic Hubs,Oc Eo complex linked to Funan maritime trade.,Chinese sources; inscriptions,"Canals, moorings",Oc Eo (Vietnam),10.26,105.1,Emporia of the Ocean,"Higham, Charles. Early Mainland Southeast Asia, 2014."
Red Sea Gateways,Berenike served as a staging post for Indo-Roman spice trade.,Periplus; ostraca,Excavation evidence of pepper/spices,Berenike (Egypt),23.906,35.483,Pepper and Bullion,"Sidebotham, Steven E. Berenike..., 2011."
Red Sea Gateways,Myos Hormos handled Red Sea shipping to India.,Periplus,Quseir al-Qadim excavations,Myos Hormos/Quseir al-Qadim (Egypt),26.106,34.277,Riders on the Monsoon,"Casson, Lionel. The Periplus Maris Erythraei, 1989."
Arabian Littoral,Khor Rori (Sumhuram) linked to frankincense and Indian trade.,Classical texts; inscriptions,Harbor and warehouse remains,Khor Rori (Oman),17.045,54.418,Indian Ocean Power Networks,"Avanzini, Alessandra. Oman and Overseas, 2008."
Arabian Littoral,Qana (Bir Ali) as South Arabian port facing India.,Periplus; inscriptions,Harbor ruins,Qana/Bir Ali (Yemen),14.01,48.321,Riders on the Monsoon,"Robin, Christian. Arabia and the Arabs, 2003."
Horn of Africa,Adulis functioned as a western Indian Ocean port.,Periplus; Cosmas Indicopleustes,Archaeological site,Adulis (Eritrea),15.266,39.833,Indian Ocean Power Networks,"Phillipson, David W. Ancient Ethiopia, 2012."
Horn of Africa,Avalites (Zeila) appears in Red Sea itineraries.,Periplus,Regional coastal archaeology,Zeila (Somaliland),11.35,43.48,Riders on the Monsoon,"Casson, Lionel. The Periplus..., 1989."
Western Indian Ocean,Zanzibar a medieval entrepôt with Indian ties.,Arabic/Portuguese sources,Harbor archaeology,Zanzibar (Tanzania),6.165,39.199,Indian Ocean Power Networks (later era),"Horton, Mark, and John Middleton. The Swahili, 2000."
Western Indian Ocean,Kilwa Kisiwani a key Swahili city-state.,Arabic chronicles,Stone-town remains,Kilwa Kisiwani (Tanzania),-8.96,39.52,Indian Ocean Power Networks (later era),"Chittick, Neville. Kilwa, 1974."
Governance & Edicts,Ashokan major rock edict at Girnar notes policy in Prakrit.,Ashokan Edicts,Inscription on rock,Girnar (Gujarat),21.52,70.47,Bharat's Ancient Heritage,"Hultzsch, E., ed. Corpus Inscriptionum Indicarum, 1925."
Governance & Edicts,Bilingual Greek–Aramaic inscription at Kandahar.,Ashokan bilingual,Rock inscription,Kandahar (Afghanistan),31.61,65.7,Bharat's Ancient Heritage,"Salomon, Richard. Indian Epigraphy, 1998."
Governance & Edicts,Kharoshthi Ashokan edicts at Shahbazgarhi.,Ashokan Edicts,Inscriptional panels,Shahbazgarhi (Pakistan),34.2,72.45,Bharat's Ancient Heritage,"Falk, Harry. Ashokan Sites and Artefacts, 2006."
Governance & Edicts,Maski edict mentions the name Aśoka explicitly.,Minor rock edict,Rock inscription,Maski (Karnataka),15.95,76.66,Bharat's Ancient Heritage,"Sircar, D. C. Select Inscriptions, 1965."
Court & Diplomacy,Allahabad Pillar inscription praises Samudragupta’s conquests.,Prayaga prasasti,Pillar epigraphy,Prayagraj (Uttar Pradesh),25.44,81.84,Gupta Networks,"Fleet, J. F. Corpus Inscriptionum Indicarum, Vol. 3, 1888."
Coin Hoards,Roman aurei/denarii found at Karur region.,Numismatic catalogues,Documented hoards,Karur (Tamil Nadu),10.96,78.08,Pepper and Bullion,"Suresh, S. Symbols of Trade. Manohar, 2004."
Coin Hoards,Vellalur hoard near Coimbatore includes Roman coins.,Numismatic notes,Hoard reports,Vellalur (Tamil Nadu),10.94,77.03,Pepper and Bullion,"Suresh, S. Symbols of Trade. Manohar, 2004."
Coin Hoards,Madurai region has reported Roman coin finds.,Numismatic notes,Hoard reports,Madurai (Tamil Nadu),9.93,78.12,Pepper and Bullion,"Suresh, S. Symbols of Trade. Manohar, 2004."
Coin Hoards,Eyyal hoard in Kerala yielded Roman coins.,Numismatic notes,Hoard reports,Eyyal (Kerala),10.48,76.07,Pepper and Bullion,"Gupta, Parmeshwari Lal. Roman Coins in India, 1969."
Coin Hoards,Kottayam region reports of Roman coins.,Numismatic notes,Local finds,Kottayam (Kerala),9.59,76.52,Pepper and Bullion,"Suresh, S. Symbols of Trade. Manohar, 2004."
Forts & Naval,Sindhudurg fort anchored Maratha sea power.,Maratha records,Sea fort remains,Sindhudurg (Maharashtra),16.02,73.47,Konkan Sea Power,"Apte, B. K. History of the Maratha Navy, 1959."
Forts & Naval,Vijaydurg served as a deep-water Maratha base.,Maratha records,Fort and harbor,Vijaydurg (Maharashtra),16.56,73.3,Konkan Sea Power,"Apte, B. K. History of the Maratha Navy, 1959."
Forts & Naval,Suvarnadurg controlled a Konkan stretch.,Maratha records,Sea fort remains,Suvarnadurg (Maharashtra),17.77,73.1,Konkan Sea Power,"Apte, B. K. History of the Maratha Navy, 1959."
Forts & Naval,Kolaba (Alibag) monitored maritime customs.,Maratha records,Fort,Kolaba/Alibag (Maharashtra),18.64,72.87,Konkan Sea Power,"Apte, B. K. History of the Maratha Navy, 1959."
Forts & Naval,Arnala guarded northern Konkan approaches.,Maratha records,Fort,Arnala (Maharashtra),19.45,72.73,Konkan Sea Power,"Apte, B. K. History of the Maratha Navy, 1959."
Forts & Naval,Murud-Janjira remained an independent stronghold at sea.,Siddi chronicles; European records,Fort,Murud-Janjira (Maharashtra),18.3,72.96,Konkan Sea Power,"Sen, S. N. Anglo-Maratha Relations, 1950."
Forts & Naval,Daman and Diu forts shaped coastal control in Gujarat.,Portuguese archives,Forts,Daman (Gujarat),20.42,72.85,Indian Ocean Power Networks (appendix),"Disney, A. R. Portugal and the Portuguese Empire, 2009."
Waypoints,Socotra caves preserve Brahmi graffiti of Indian sailors.,Inscription corpus,Cave documentation,Socotra (Yemen),12.463,53.823,Sailors’ Graffiti at the World’s Edge,"Ray, Himanshu Prabha. The Archaeology of Seafaring, 2003."
Waypoints,Andaman–Nicobar sit astride Bay of Bengal sea lanes.,Modern policy notes,Port/airfield infrastructure,Andaman–Nicobar (India),11.67,92.74,Contemporary SAGAR,"Government of India. SAGAR policy briefs, 2015–."
Waypoints,Minicoy connects Laccadive–Maldives channel routes.,Nautical charts,Lighthouse and harbor,"Minicoy (Lakshadweep, India)",8.3,73.05,Riders on the Monsoon (appendix),"Hydrographic Office, Sailing Directions."
Waypoints,Kanyakumari marks a coastal pivot in peninsular routes.,Travelers' notes,Coastal geomorphology,Kanyakumari (Tamil Nadu),8.08,77.54,Riders on the Monsoon,"McCrindle, J. W. Ancient India…, 1877."
Waypoints,Pamban/Rameswaram straits facilitated crossing to Lanka.,Pilgrimage itineraries,Bridge causeways,Pamban (Tamil Nadu),9.28,79.21,Routes of Faith and Trade,"Michell, George. The Hindu Temple, 1988."
Interior Corridors,"Karle caves record Yavana donor names, hinting trade links.",Karle inscriptions,Cave complex,Karle (Maharashtra),18.95,73.47,Emporia of the Ocean,"Shah, U. P. Studies in Jaina Art and Iconography, 1987."
Interior Corridors,Junnar caves mention donors tied to caravan/port routes.,Junnar inscriptions,Cave complex,Junnar (Maharashtra),19.2,73.88,Emporia of the Ocean,"Dhavalikar, M. K. Deccan History, 1984."
Ports & Emporia,Srikakulam/Kalingapatnam participated in Bay of Bengal trade.,Regional records,Harbor remains,Kalingapatnam (Andhra Pradesh),18.3,84.0,Routes of Faith and Trade,"Rajan, K. Maritime Archaeology of the Bay of Bengal, 2014."
Ports & Emporia,Masulipatnam (Machilipatnam) as Coromandel port.,European/Indian records,Harbor archaeology,Machilipatnam (Andhra Pradesh),16.18,81.13,Emporia of the Ocean (later era),"Subrahmanyam, Sanjay. The Portuguese Empire in Asia, 1993."
Ports & Emporia,Nagapattinam as a Chola-era maritime center.,Chola inscriptions,Temple-port complex,Nagapattinam (Tamil Nadu),10.77,79.84,Chola Naval Raid,"Nilakanta Sastri, K. A. The Cōḷas, 1955."
Ports & Emporia,Puri coast shows ritual-port interlinkages.,Pilgrim itineraries,Coastal archaeology,Puri (Odisha),19.81,85.83,Bali Jatra & Kalinga,"Patnaik, Rekha. Maritime Trade of Odisha, 2013."
Ritual Memory,Cuttack’s Bali Jatra encodes Kalinga’s sailing memory.,Festival songs,Ethnography,Cuttack (Odisha),20.462,85.882,Maritime Memory,"Behera, K. S. Maritime Heritage of Odisha, 2002."
Ports & Emporia,Srikakulam (Andhra) port of Kalinga corridor.,Regional notes,Harbor remains,Srikakulam (Andhra Pradesh),18.3,83.9,Routes of Faith and Trade,"Rajan, K. Maritime Archaeology of the Bay of Bengal, 2014."
Ports & Emporia,Thane–Bhiwandi inland nodes tied to Sopara/Chaul.,Inscriptional and trade records,Riverine corridors,Thane (Maharashtra),19.19,72.97,Konkan Sea Power,"Gokhale, Shobhana. Kanheri Inscriptions, 1991."
